state,population
AK,737068
AL,4876250
AR,2999370
AZ,7050299
CA,39283497
CO,5610349
CT,3575074
DE,957248
FL,20901636
GA,10403847
HI,1422094
IA,3139508
ID,1717750
IL,12770631
IN,6665703
KS,2910652
KY,4449052
LA,4664362
MA,6850553
MD,6018848
ME,1335492
MI,9965265
MN,5563378
MO,6104910
MS,2984418
MT,1050649
NC,10264876
ND,756717
NE,1914571
NH,1348124
NJ,8878503
NM,2092454
NV,2972382
NY,19572319
OH,11655397
OK,3932870
OR,4129803
PA,12791530
RI,1057231
SC,5020806
SD,870638
TN,6709356
TX,28260856
UT,3096848
VA,8454463
VT,624313
WA,7404107
WI,5790716
WV,1817305
WY,581024
